[EMBEDDING][INFO]: Loading model all-MiniLM-L6-v2...
[EMBEDDING][INFO]: Embedding column 'title'...
[EMBEDDING][INFO]: Embedding column 'tags'...
[EMBEDDING][INFO]: Embedding column 'description'...
Preprocessing complete. Final shape: (1000, 1181)
         11148287 function calls (10944247 primitive calls) in 68.517 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    19174    0.013    0.000    0.016    0.000 _ops.py:1045(<genexpr>)
       21    0.013    0.001    0.013    0.001 decoder.py:343(raw_decode)
     6413    0.013    0.000    0.013    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    54342    0.013    0.000    0.015    0.000 {built-in method builtins.setattr}
     1248    0.013    0.000    0.013    0.000 {built-in method torch.dropout}
        6    0.012    0.002    0.015    0.003 managers.py:1707(_interleave)
      462    0.012    0.000    0.012    0.000 {built-in method builtins.eval}
     3603    0.012    0.000    0.039    0.000 construction.py:517(sanitize_array)
    15313    0.012    0.000    0.017    0.000 generic.py:6320(__setattr__)
    57204    0.012    0.000    0.018    0.000 posixpath.py:41(_get_sep)
    95143    0.012    0.000    0.012    0.000 {method 'endswith' of 'str' objects}
     2749    0.012    0.000    0.012    0.000 {method 'size' of 'torch._C.TensorBase' objects}
    95812    0.011    0.000    0.011    0.000 {method 'get' of 'dict' objects}
      103    0.011    0.000    0.011    0.000 {method 'write' of '_io.TextIOWrapper' objects}
     2803    0.011    0.000    0.178    0.000 dataclasses.py:412(_create_fn)
     4461    0.011    0.000    0.217    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
    22183    0.011    0.000    0.022    0.000 typing.py:986(__setattr__)
     2070    0.011    0.000    0.011    0.000 {built-in method torch._C._get_operation_overload}
     3517    0.011    0.000    0.016    0.000 managers.py:1012(iget)
     1248    0.011    0.000    0.798    0.001 functional.py:2889(layer_norm)
        8    0.011    0.001    0.058    0.007 managers.py:708(_slice_take_blocks_ax0)
     5912    0.011    0.000    0.023    0.000 typing.py:146(_type_check)
     1248    0.010    0.000    0.811    0.001 normalization.py:216(forward)
     4475    0.010    0.000    0.029    0.000 _ops.py:1044(_has_script_object_arg)
  467/465    0.010    0.000    0.207    0.000 inspect.py:850(getmodule)
    15337    0.010    0.000    0.020    0.000 enum.py:359(__call__)
     1419    0.010    0.000    0.012    0.000 sre_compile.py:292(_optimize_charset)
      439    0.009    0.000    0.016    0.000 doccer.py:231(indentcount_lines)
        2    0.009    0.005    0.010    0.005 c_parser_wrapper.py:60(__init__)
     4299    0.009    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
      576    0.009    0.000   33.543    0.058 modeling_bert.py:606(feed_forward_chunk)
  3494/11    0.009    0.000    0.391    0.036 frame.py:4276(__setitem__)
      576    0.009    0.000   55.923    0.097 modeling_bert.py:541(forward)
15759/14837    0.009    0.000    0.119    0.000 typing.py:306(inner)
     1159    0.009    0.000    0.015    0.000 blocks.py:2001(delete)
      257    0.009    0.000    0.020    0.000 __init__.py:328(namedtuple)
     3068    0.009    0.000    0.021    0.000 dataclasses.py:722(_get_field)
      271    0.009    0.000    0.046    0.000 feedparser.py:218(_parsegen)
     2601    0.009    0.000    0.058    0.000 typing.py:1016(__init__)
    93984    0.009    0.000    0.009    0.000 {built-in method posix.fspath}
       20    0.008    0.000    0.017    0.001 managers.py:2276(_merge_blocks)
     1159    0.008    0.000    0.027    0.000 managers.py:1216(_iset_split_block)
    31285    0.008    0.000    0.008    0.000 {method 'replace' of 'str' objects}
     5929    0.008    0.000    0.011    0.000 generic.py:278(__init__)
      576    0.008    0.000   21.741    0.038 modeling_bert.py:473(forward)
1215/1213    0.008    0.000    0.058    0.000 series.py:389(__init__)
