[EMBEDDING][INFO]: Loading model all-MiniLM-L6-v2...
[EMBEDDING][INFO]: Embedding column 'title'...
[EMBEDDING][INFO]: Embedding column 'tags'...
[EMBEDDING][INFO]: Embedding column 'description'...
Preprocessing complete. Final shape: (1000, 1181)
         2362319229 function calls (2358581797 primitive calls) in 1044.928 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
4480/4476    0.032    0.000    0.227    0.000 <frozen importlib._bootstrap>:921(_find_spec)
       96    0.032    0.000   57.101    0.595 modeling_bert.py:619(forward)
     4105    0.032    0.000    0.032    0.000 {method 'read' of '_io.BufferedReader' objects}
     4090    0.031    0.000    0.031    0.000 {built-in method io.open_code}
11136/288    0.030    0.000   57.704    0.200 module.py:1747(_wrapped_call_impl)
4853/3179    0.028    0.000    0.152    0.000 inspect.py:2375(_signature_from_callable)
     4368    0.028    0.000    0.033    0.000 {built-in method io.open}
3063/3061    0.028    0.000    0.106    0.000 posixpath.py:401(_joinrealpath)
    18281    0.028    0.000    0.053    0.000 tokenize.py:431(_tokenize)
    23620    0.028    0.000    0.028    0.000 module.py:1927(__getattr__)
    19925    0.027    0.000    0.061    0.000 inspect.py:773(getfile)
       82    0.027    0.000    0.078    0.001 modeling_attn_mask_utils.py:186(_expand_mask)
       82    0.027    0.000    0.027    0.000 {method 'masked_fill' of 'torch._C.TensorBase' objects}
      576    0.027    0.000   18.092    0.031 modeling_bert.py:332(forward)
     2870    0.027    0.000    0.076    0.000 inspect.py:2280(_signature_from_function)
     3919    0.027    0.000    0.049    0.000 {method 'read' of '_io.TextIOWrapper' objects}
    27075    0.026    0.000    0.026    0.000 {built-in method posix.lstat}
     3623    0.026    0.000    0.275    0.000 construction.py:517(sanitize_array)
     1152    0.025    0.000    0.354    0.000 blocks.py:480(coerce_to_target_dtype)
1195/1193    0.025    0.000    0.159    0.000 series.py:389(__init__)
     1160    0.025    0.000    0.050    0.000 blocks.py:2001(delete)
     4783    0.024    0.000    0.024    0.000 {method 'reduce' of 'numpy.ufunc' objects}
 2116/360    0.024    0.000    0.063    0.000 sre_parse.py:494(_parse)
    11329    0.024    0.000    0.024    0.000 {built-in method torch._C._get_tracing_state}
18508/1914    0.024    0.000    0.042    0.000 import_utils.py:2600(propagate_frozenset)
     1785    0.023    0.000    0.038    0.000 library.py:293(impl)
     7627    0.023    0.000    0.034    0.000 posixpath.py:338(normpath)
      767    0.023    0.000    0.302    0.000 dataclasses.py:881(_process_class)
     4515    0.022    0.000    0.033    0.000 take.py:120(_take_nd_ndarray)
     1728    0.022    0.000    0.022    0.000 {method 'view' of 'torch._C.TensorBase' objects}
     2044    0.021    0.000    0.021    0.000 {built-in method posix.listdir}
    15231    0.021    0.000    0.035    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
81429/81169    0.021    0.000    0.032    0.000 {method 'join' of 'str' objects}
     4089    0.020    0.000    0.559    0.000 <frozen importlib._bootstrap_external>:950(get_code)
     3840    0.020    0.000    0.021    0.000 {method 'sub' of 're.Pattern' objects}
 7283/666    0.019    0.000    4.536    0.007 <frozen importlib._bootstrap>:1022(_find_and_load)
     1152    0.019    0.000    0.108    0.000 _exceptions.py:34(find_stack_level)
    25828    0.019    0.000    0.019    0.000 {method 'add' of 'set' objects}
     1153    0.019    0.000    0.095    0.000 {built-in method _warnings.warn}
      478    0.018    0.000    0.041    0.000 assumptions.py:614(_prepare_class_assumptions)
  186/144    0.018    0.000    0.059    0.000 {built-in method _imp.exec_dynamic}
     1156    0.018    0.000    0.025    0.000 managers.py:1265(_iset_single)
     1152    0.018    0.000    0.973    0.001 indexing.py:2111(_setitem_single_column)
     8178    0.018    0.000    0.052    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
     3552    0.018    0.000   44.801    0.013 linear.py:124(forward)
    28881    0.018    0.000    0.018    0.000 {method 'match' of 're.Pattern' objects}
    33430    0.018    0.000    0.046    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
    36478    0.018    0.000    0.018    0.000 {method 'split' of 'str' objects}
     6461    0.017    0.000    0.029    0.000 functools.py:35(update_wrapper)
    15231    0.017    0.000    0.021    0.000 <frozen importlib._bootstrap>:100(acquire)
      431    0.017    0.000    0.048    0.000 doccer.py:29(docformat)
     1160    0.017    0.000    0.075    0.000 managers.py:1216(_iset_split_block)
     5347    0.017    0.000    0.024    0.000 inspect.py:2920(__init__)
    33430    0.017    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
     2058    0.016    0.000    0.019    0.000 _ops.py:688(__init__)
     1728    0.016    0.000    0.056    0.000 modeling_bert.py:218(transpose_for_scores)
    15231    0.016    0.000    0.019    0.000 <frozen importlib._bootstrap>:125(release)
2304/1152    0.015    0.000    0.411    0.000 blocks.py:1439(setitem)
      323    0.015    0.000    0.028    0.000 import_utils.py:2016(__init__)
    59239    0.015    0.000    0.021    0.000 posixpath.py:41(_get_sep)
       96    0.015    0.000    0.015    0.000 {method 'sum' of 'torch._C.TensorBase' objects}
     2361    0.015    0.000    0.039    0.000 common.py:1606(pandas_dtype)
     1716    0.015    0.000    0.015    0.000 {method 'findall' of 're.Pattern' objects}
19146/16028    0.015    0.000    2.982    0.000 <frozen importlib._bootstrap>:1053(_handle_fromlist)
      784    0.015    0.000   14.691    0.019 __init__.py:1(<module>)
    10368    0.014    0.000    0.025    0.000 inspect.py:2637(__init__)
     1248    0.014    0.000    0.032    0.000 functional.py:1401(dropout)
       96    0.014    0.000    0.707    0.007 Transformer.py:465(tokenize)
